label,area,mean_intensity,centroid_row,centroid_col,area_m2,area_km2
60,16.0,0.49466150999069214,429.0,978.5,1600.0,0.0016
69,15.0,0.2814205586910248,542.8666666666667,214.6,1500.0,0.0015
22,15.0,0.3924958407878876,260.6666666666667,878.4,1500.0,0.0015
65,15.0,0.32563087344169617,446.8,938.6,1500.0,0.0015
36,15.0,0.2755483090877533,303.3333333333333,886.5333333333333,1500.0,0.0015
59,12.0,0.4878077507019043,420.5833333333333,998.1666666666666,1200.0,0.0012
85,11.0,0.3258538246154785,990.3636363636364,778.2727272727273,1100.0,0.0011
9,11.0,0.2681289613246918,206.8181818181818,892.3636363636364,1100.0,0.0011
71,10.0,0.2909783720970154,546.0,207.3,1000.0,0.001
49,10.0,0.3534018397331238,365.7,883.7,1000.0,0.001
24,10.0,0.2667573392391205,262.8,866.5,1000.0,0.001
41,9.0,0.3612649440765381,336.1111111111111,894.4444444444445,900.0,0.0009
57,9.0,0.32130420207977295,413.44444444444446,139.77777777777777,900.0,0.0009
29,9.0,0.33928361535072327,273.8888888888889,871.7777777777778,900.0,0.0009
46,9.0,0.3504330515861511,350.8888888888889,279.77777777777777,900.0,0.0009
11,8.0,0.27480143308639526,227.375,895.75,800.0,0.0008
37,7.0,0.32794538140296936,303.0,368.0,700.0,0.0007
23,7.0,0.2558666169643402,261.57142857142856,857.8571428571429,700.0,0.0007
13,7.0,0.2667630612850189,231.71428571428572,889.8571428571429,700.0,0.0007
17,6.0,0.27452215552330017,242.83333333333334,867.1666666666666,600.0,0.0006
38,5.0,0.3611515462398529,317.8,890.2,500.0,0.0005
3,5.0,0.28675875067710876,111.2,835.8,500.0,0.0005
55,5.0,0.36571282148361206,409.0,881.0,500.0,0.0005
75,5.0,0.3235282897949219,613.8,241.8,500.0,0.0005
45,5.0,0.3559090495109558,349.4,274.2,500.0,0.0005
40,5.0,0.3098967373371124,332.0,911.0,500.0,0.0005
18,4.0,0.28096434473991394,243.5,846.5,400.0,0.0004
25,4.0,0.2943902015686035,263.5,106.5,400.0,0.0004
58,4.0,0.35892558097839355,413.5,897.5,400.0,0.0004
7,4.0,0.30095064640045166,197.5,884.5,400.0,0.0004
15,3.0,0.30267027020454407,242.33333333333334,95.66666666666667,300.0,0.0003
35,3.0,0.33941352367401123,293.3333333333333,363.3333333333333,300.0,0.0003
83,3.0,0.26293298602104187,933.6666666666666,785.6666666666666,300.0,0.0003
47,3.0,0.3918403685092926,357.6666666666667,294.3333333333333,300.0,0.0003
70,2.0,0.2570453882217407,544.5,577.0,200.0,0.0002
19,2.0,0.3450377583503723,249.0,834.5,200.0,0.0002
4,2.0,0.2977374792098999,116.0,838.5,200.0,0.0002
1,2.0,0.2975592017173767,0.0,714.5,200.0,0.0002
6,2.0,0.30030572414398193,162.5,833.0,200.0,0.0002
16,2.0,0.30028149485588074,242.5,863.0,200.0,0.0002
81,2.0,0.2704569101333618,905.5,799.0,200.0,0.0002
64,2.0,0.3650062084197998,441.0,944.5,200.0,0.0002
63,2.0,0.3359631299972534,437.5,928.0,200.0,0.0002
53,2.0,0.2880185842514038,404.5,883.0,200.0,0.0002
42,2.0,0.3053719103336334,338.5,898.5,200.0,0.0002
30,2.0,0.478363573551178,275.0,861.5,200.0,0.0002
